user_id,payment_date,day_since_install,product_type,amount_usd
U22773,2026-01-11,8,Small Pack,0.99
U23125,2026-01-11,1,Premium Pack,99.99
U25185,2026-01-11,7,Event Pack,14.99
U25683,2026-01-11,1,Monthly Pass,4.99
U25703,2026-01-11,5,Cosmetic,9.99
U30842,2026-01-11,6,Premium Pack,99.99
U32697,2026-01-11,2,Event Pack,9.99
U33628,2026-01-11,2,Premium Pack,99.99
U35771,2026-01-11,6,Event Pack,9.99
U38730,2026-01-11,5,Cosmetic,29.99
U41660,2026-01-11,0,Small Pack,0.99
U43070,2026-01-11,0,Small Pack,2.99
U43554,2026-01-11,0,Event Pack,9.99
U43597,2026-01-11,2,Small Pack,1.99
U45329,2026-01-11,5,Small Pack,2.99
U46661,2026-01-11,8,Event Pack,14.99
U46701,2026-01-11,6,Event Pack,9.99
U47290,2026-01-11,2,Monthly Pass,5.99
U49158,2026-01-11,2,Small Pack,0.99
U01431,2026-01-12,5,Cosmetic,19.99
U02110,2026-01-12,2,Small Pack,1.99
U02540,2026-01-12,4,Cosmetic,19.99
U02884,2026-01-12,6,Event Pack,14.99
U03823,2026-01-12,0,Cosmetic,19.99
U06602,2026-01-12,10,Monthly Pass,4.99
U09331,2026-01-12,0,Cosmetic,29.99
U14354,2026-01-12,0,Event Pack,14.99
U14363,2026-01-12,11,Small Pack,0.99
U14484,2026-01-12,0,Monthly Pass,4.99
U14593,2026-01-12,3,Event Pack,14.99
U14760,2026-01-12,0,Cosmetic,19.99
U19536,2026-01-12,3,Small Pack,1.99
U20454,2026-01-12,4,Event Pack,14.99
U21104,2026-01-12,5,Monthly Pass,4.99
U23792,2026-01-12,1,Small Pack,2.99
U24140,2026-01-12,0,Event Pack,9.99
U24252,2026-01-12,4,Monthly Pass,5.99
U25295,2026-01-12,0,Small Pack,1.99
U25329,2026-01-12,10,Event Pack,14.99
U25723,2026-01-12,0,Small Pack,1.99
U27028,2026-01-12,0,Cosmetic,9.99
U27477,2026-01-12,7,Cosmetic,29.99
U29679,2026-01-12,4,Cosmetic,19.99
U30886,2026-01-12,11,Small Pack,0.99
U31701,2026-01-12,9,Small Pack,1.99
U32213,2026-01-12,0,Event Pack,4.99
U32729,2026-01-12,0,Small Pack,2.99
U39791,2026-01-12,6,Cosmetic,29.99
U41046,2026-01-12,0,Small Pack,1.99
U43159,2026-01-12,0,Event Pack,14.99
U45021,2026-01-12,7,Premium Pack,19.99
U46119,2026-01-12,0,Monthly Pass,4.99
U46529,2026-01-12,3,Event Pack,9.99
U46661,2026-01-12,9,Small Pack,1.99
U46742,2026-01-12,4,Monthly Pass,4.99
U49268,2026-01-12,8,Event Pack,4.99
U49683,2026-01-12,11,Event Pack,14.99
U01521,2026-01-13,2,Small Pack,0.99
U04203,2026-01-13,3,Premium Pack,99.99
U05699,2026-01-13,2,Small Pack,0.99
U08277,2026-01-13,0,Small Pack,0.99
U08601,2026-01-13,10,Small Pack,0.99
U09107,2026-01-13,5,Monthly Pass,4.99
U10002,2026-01-13,11,Monthly Pass,5.99
U10224,2026-01-13,3,Cosmetic,29.99
U12061,2026-01-13,12,Event Pack,4.99
U13563,2026-01-13,0,Small Pack,1.99
U15295,2026-01-13,0,Small Pack,0.99
U16440,2026-01-13,0,Small Pack,0.99
U19838,2026-01-13,3,Small Pack,1.99
U21530,2026-01-13,6,Small Pack,1.99
U22465,2026-01-13,3,Cosmetic,9.99
U22885,2026-01-13,0,Event Pack,9.99
U22972,2026-01-13,9,Event Pack,4.99
U23525,2026-01-13,0,Monthly Pass,5.99
U26489,2026-01-13,4,Cosmetic,29.99
U27040,2026-01-13,6,Event Pack,4.99
U27788,2026-01-13,3,Small Pack,0.99
U29170,2026-01-13,0,Monthly Pass,5.99
U30014,2026-01-13,6,Event Pack,14.99
U31223,2026-01-13,0,Event Pack,14.99
U31623,2026-01-13,0,Small Pack,2.99
U32177,2026-01-13,0,Small Pack,1.99
U32199,2026-01-13,0,Premium Pack,19.99
U32454,2026-01-13,4,Small Pack,1.99
U34365,2026-01-13,6,Cosmetic,19.99
U36105,2026-01-13,0,Small Pack,2.99
U36619,2026-01-13,9,Small Pack,1.99
U36698,2026-01-13,0,Small Pack,1.99
U37286,2026-01-13,7,Event Pack,9.99
U37361,2026-01-13,10,Premium Pack,99.99
U37626,2026-01-13,0,Event Pack,9.99
U39348,2026-01-13,2,Monthly Pass,4.99
U39791,2026-01-13,7,Cosmetic,29.99
U40333,2026-01-13,4,Monthly Pass,4.99
U40574,2026-01-13,11,Small Pack,2.99
U43583,2026-01-13,1,Monthly Pass,4.99
U43879,2026-01-13,9,Monthly Pass,4.99
U44149,2026-01-13,10,Monthly Pass,4.99
U44244,2026-01-13,5,Small Pack,0.99
U45119,2026-01-13,10,Small Pack,2.99
U46374,2026-01-13,11,Event Pack,14.99
U46973,2026-01-13,11,Premium Pack,19.99
U48285,2026-01-13,1,Event Pack,9.99
U48878,2026-01-13,8,Cosmetic,29.99
U01186,2026-01-14,12,Cosmetic,9.99
U03968,2026-01-14,4,Event Pack,4.99
U04721,2026-01-14,9,Monthly Pass,5.99
U05639,2026-01-14,10,Premium Pack,99.99
U06136,2026-01-14,0,Cosmetic,9.99
U06382,2026-01-14,13,Monthly Pass,4.99
U07916,2026-01-14,9,Small Pack,2.99
U09887,2026-01-14,1,Monthly Pass,4.99
U11230,2026-01-14,7,Small Pack,2.99
U12028,2026-01-14,3,Event Pack,4.99
U12320,2026-01-14,5,Event Pack,4.99
U12388,2026-01-14,10,Event Pack,14.99
U12614,2026-01-14,0,Monthly Pass,4.99
U15045,2026-01-14,9,Event Pack,4.99
U16161,2026-01-14,2,Event Pack,9.99
U16855,2026-01-14,0,Monthly Pass,5.99
U16997,2026-01-14,7,Monthly Pass,4.99
U17517,2026-01-14,4,Monthly Pass,5.99
U21106,2026-01-14,10,Small Pack,0.99
U22374,2026-01-14,0,Monthly Pass,4.99
U22669,2026-01-14,11,Event Pack,9.99
U24617,2026-01-14,2,Monthly Pass,5.99
U25030,2026-01-14,0,Small Pack,2.99
U26784,2026-01-14,8,Premium Pack,49.99
U28819,2026-01-14,1,Monthly Pass,4.99
U28989,2026-01-14,3,Small Pack,1.99
U29294,2026-01-14,2,Event Pack,4.99
U30987,2026-01-14,0,Premium Pack,49.99
U32342,2026-01-14,4,Event Pack,4.99
U34155,2026-01-14,8,Cosmetic,29.99
U36687,2026-01-14,1,Cosmetic,19.99
U36880,2026-01-14,0,Cosmetic,9.99
U37351,2026-01-14,4,Monthly Pass,4.99
U37696,2026-01-14,0,Event Pack,4.99
U38428,2026-01-14,6,Monthly Pass,4.99
U40875,2026-01-14,0,Premium Pack,49.99
U40878,2026-01-14,8,Monthly Pass,5.99
U42518,2026-01-14,7,Event Pack,9.99
U43592,2026-01-14,11,Cosmetic,29.99
U44944,2026-01-14,0,Small Pack,1.99
U45391,2026-01-14,1,Small Pack,0.99
U46314,2026-01-14,11,Small Pack,0.99
U46612,2026-01-14,12,Monthly Pass,5.99
U48032,2026-01-14,1,Event Pack,14.99
U48414,2026-01-14,3,Event Pack,9.99
U03179,2026-01-15,9,Event Pack,4.99
U04086,2026-01-15,8,Event Pack,9.99
U04234,2026-01-15,14,Cosmetic,9.99
U05151,2026-01-15,12,Cosmetic,19.99
U06950,2026-01-15,14,Event Pack,9.99
U09366,2026-01-15,3,Small Pack,0.99
U09373,2026-01-15,0,Small Pack,2.99
U10060,2026-01-15,6,Premium Pack,49.99
U10460,2026-01-15,2,Small Pack,0.99
U11107,2026-01-15,2,Small Pack,0.99
U12676,2026-01-15,0,Small Pack,0.99
U14260,2026-01-15,4,Event Pack,14.99
U14270,2026-01-15,12,Premium Pack,99.99
U14760,2026-01-15,3,Monthly Pass,4.99
U16204,2026-01-15,13,Small Pack,2.99
U19179,2026-01-15,10,Monthly Pass,5.99
U20150,2026-01-15,12,Event Pack,14.99
U21782,2026-01-15,3,Cosmetic,29.99
U22085,2026-01-15,11,Event Pack,14.99
U22365,2026-01-15,9,Event Pack,4.99
U22885,2026-01-15,2,Cosmetic,29.99
U23384,2026-01-15,8,Small Pack,1.99
U23929,2026-01-15,0,Event Pack,4.99
U24617,2026-01-15,3,Monthly Pass,5.99
U24698,2026-01-15,1,Event Pack,4.99
U25431,2026-01-15,13,Cosmetic,9.99
U27028,2026-01-15,3,Event Pack,14.99
U30479,2026-01-15,11,Event Pack,9.99
U31038,2026-01-15,1,Cosmetic,19.99
U31260,2026-01-15,10,Event Pack,4.99
U34558,2026-01-15,2,Premium Pack,49.99
U35324,2026-01-15,11,Cosmetic,9.99
U36280,2026-01-15,9,Small Pack,1.99
U37178,2026-01-15,8,Cosmetic,29.99
U39050,2026-01-15,6,Small Pack,1.99
U39061,2026-01-15,7,Small Pack,2.99
U43335,2026-01-15,4,Monthly Pass,5.99
U43583,2026-01-15,3,Cosmetic,9.99
U43880,2026-01-15,14,Small Pack,0.99
U44908,2026-01-15,9,Event Pack,9.99
U46612,2026-01-15,13,Monthly Pass,4.99
U47118,2026-01-15,0,Cosmetic,9.99
U47177,2026-01-15,11,Event Pack,9.99
U48024,2026-01-15,3,Monthly Pass,4.99
U48098,2026-01-15,4,Premium Pack,99.99
U49454,2026-01-15,0,Cosmetic,29.99
U49622,2026-01-15,0,Cosmetic,9.99
U49839,2026-01-15,0,Cosmetic,29.99
U00669,2026-01-16,3,Monthly Pass,4.99
U02141,2026-01-16,1,Small Pack,2.99
U02722,2026-01-16,6,Small Pack,1.99
U03142,2026-01-16,14,Cosmetic,9.99
U03481,2026-01-16,12,Monthly Pass,4.99
U03860,2026-01-16,0,Small Pack,0.99
U04276,2026-01-16,5,Event Pack,9.99
U05379,2026-01-16,4,Cosmetic,29.99
U06243,2026-01-16,3,Premium Pack,49.99
U06352,2026-01-16,0,Monthly Pass,5.99
U06382,2026-01-16,15,Monthly Pass,4.99
U07071,2026-01-16,3,Cosmetic,9.99
U08395,2026-01-16,1,Event Pack,4.99
U08455,2026-01-16,0,Event Pack,14.99
U09366,2026-01-16,4,Event Pack,9.99
U11571,2026-01-16,0,Event Pack,9.99
U12999,2026-01-16,11,Monthly Pass,4.99
U13324,2026-01-16,14,Small Pack,1.99
U14056,2026-01-16,3,Small Pack,1.99
U15557,2026-01-16,0,Small Pack,1.99
U18168,2026-01-16,15,Event Pack,14.99
U18216,2026-01-16,10,Cosmetic,19.99
U18604,2026-01-16,3,Event Pack,4.99
U18770,2026-01-16,4,Premium Pack,99.99
U19032,2026-01-16,9,Event Pack,14.99
U19382,2026-01-16,3,Event Pack,4.99
U21421,2026-01-16,0,Monthly Pass,4.99
U22527,2026-01-16,3,Cosmetic,9.99
U23237,2026-01-16,0,Cosmetic,9.99
U23853,2026-01-16,2,Event Pack,4.99
U24002,2026-01-16,0,Event Pack,9.99
U24504,2026-01-16,12,Monthly Pass,4.99
U24617,2026-01-16,4,Premium Pack,99.99
U25329,2026-01-16,14,Small Pack,1.99
U26055,2026-01-16,0,Monthly Pass,5.99
U26840,2026-01-16,0,Event Pack,14.99
U28380,2026-01-16,2,Premium Pack,99.99
U29861,2026-01-16,0,Monthly Pass,5.99
U30694,2026-01-16,11,Small Pack,2.99
U32919,2026-01-16,4,Small Pack,2.99
U33223,2026-01-16,11,Small Pack,0.99
U33263,2026-01-16,9,Monthly Pass,4.99
U33573,2026-01-16,5,Monthly Pass,4.99
U34181,2026-01-16,1,Monthly Pass,4.99
U34375,2026-01-16,6,Monthly Pass,4.99
U37595,2026-01-16,1,Cosmetic,9.99
U38135,2026-01-16,0,Small Pack,1.99
U39367,2026-01-16,11,Monthly Pass,5.99
U42877,2026-01-16,1,Small Pack,2.99
U43683,2026-01-16,3,Premium Pack,19.99
U44872,2026-01-16,5,Cosmetic,19.99
U45176,2026-01-16,2,Small Pack,2.99
U45884,2026-01-16,11,Event Pack,4.99
U47216,2026-01-16,10,Small Pack,0.99
U47738,2026-01-16,14,Monthly Pass,4.99
U49622,2026-01-16,1,Cosmetic,29.99
U00367,2026-01-17,3,Small Pack,0.99
U00468,2026-01-17,5,Monthly Pass,5.99
U02134,2026-01-17,4,Premium Pack,99.99
U04599,2026-01-17,11,Cosmetic,9.99
U09574,2026-01-17,2,Cosmetic,29.99
U09887,2026-01-17,4,Small Pack,2.99
U10356,2026-01-17,0,Monthly Pass,5.99
U10358,2026-01-17,10,Small Pack,2.99
U13571,2026-01-17,15,Premium Pack,99.99
U13995,2026-01-17,15,Monthly Pass,5.99
U14260,2026-01-17,6,Monthly Pass,5.99
U14911,2026-01-17,0,Cosmetic,19.99
U17336,2026-01-17,5,Event Pack,14.99
U20184,2026-01-17,11,Small Pack,1.99
U21421,2026-01-17,1,Monthly Pass,5.99
U21902,2026-01-17,6,Small Pack,1.99
U22465,2026-01-17,7,Small Pack,2.99
U22482,2026-01-17,3,Small Pack,0.99
U23695,2026-01-17,5,Small Pack,0.99
U24073,2026-01-17,8,Small Pack,0.99
U25148,2026-01-17,0,Event Pack,14.99
U26348,2026-01-17,4,Monthly Pass,5.99
U26935,2026-01-17,0,Event Pack,9.99
U27345,2026-01-17,11,Premium Pack,49.99
U30314,2026-01-17,1,Small Pack,2.99
U33021,2026-01-17,2,Event Pack,4.99
U33628,2026-01-17,8,Small Pack,0.99
U35671,2026-01-17,7,Premium Pack,19.99
U37087,2026-01-17,3,Cosmetic,9.99
U38702,2026-01-17,3,Event Pack,14.99
U38782,2026-01-17,0,Small Pack,0.99
U39580,2026-01-17,0,Small Pack,2.99
U40179,2026-01-17,0,Monthly Pass,5.99
U42607,2026-01-17,3,Cosmetic,29.99
U42792,2026-01-17,13,Event Pack,14.99
U48660,2026-01-17,12,Premium Pack,99.99
U48942,2026-01-17,0,Monthly Pass,4.99
U49082,2026-01-17,0,Small Pack,0.99
U00221,2026-01-18,2,Small Pack,1.99
U00680,2026-01-18,1,Event Pack,9.99
U01749,2026-01-18,0,Cosmetic,29.99
U02049,2026-01-18,2,Premium Pack,49.99
U02708,2026-01-18,0,Small Pack,1.99
U03289,2026-01-18,0,Cosmetic,19.99
U03587,2026-01-18,12,Event Pack,9.99
U05536,2026-01-18,16,Small Pack,0.99
U06352,2026-01-18,2,Event Pack,14.99
U06417,2026-01-18,12,Monthly Pass,4.99
U06786,2026-01-18,0,Event Pack,4.99
U07912,2026-01-18,5,Monthly Pass,5.99
U08033,2026-01-18,1,Small Pack,2.99
U09422,2026-01-18,10,Monthly Pass,5.99
U11125,2026-01-18,12,Event Pack,4.99
U12778,2026-01-18,6,Monthly Pass,4.99
U16930,2026-01-18,1,Small Pack,0.99
U16997,2026-01-18,11,Small Pack,2.99
U17619,2026-01-18,9,Small Pack,2.99
U18168,2026-01-18,17,Small Pack,1.99
U18919,2026-01-18,9,Cosmetic,9.99
U19436,2026-01-18,9,Small Pack,1.99
U19806,2026-01-18,1,Monthly Pass,4.99
