user_id,date,day_since_install,sessions,playtime_minutes
U03517,2026-01-01,0,3,44.4
U03538,2026-01-01,0,3,42.0
U03617,2026-01-01,0,3,15.0
U03651,2026-01-01,0,2,42.5
U03735,2026-01-01,0,1,7.8
U03776,2026-01-01,0,3,49.6
U03868,2026-01-01,0,4,69.5
U03882,2026-01-01,0,2,8.0
U03979,2026-01-01,0,4,27.2
U04001,2026-01-01,0,1,19.9
U04012,2026-01-01,0,4,8.8
U04020,2026-01-01,0,3,8.2
U04146,2026-01-01,0,2,21.3
U04233,2026-01-01,0,2,12.7
U04234,2026-01-01,0,1,22.1
U04287,2026-01-01,0,3,15.4
U04349,2026-01-01,0,3,24.0
U04418,2026-01-01,0,3,11.9
U04426,2026-01-01,0,3,92.4
U04442,2026-01-01,0,2,36.8
U04613,2026-01-01,0,4,18.9
U04844,2026-01-01,0,3,13.3
U04917,2026-01-01,0,2,28.7
U04989,2026-01-01,0,2,40.8
U05034,2026-01-01,0,3,35.8
U05061,2026-01-01,0,5,37.5
U05205,2026-01-01,0,2,28.3
U05252,2026-01-01,0,1,2.6
U05284,2026-01-01,0,2,45.0
U05395,2026-01-01,0,3,19.1
U05396,2026-01-01,0,2,99.5
U05423,2026-01-01,0,2,21.7
U05526,2026-01-01,0,1,8.0
U05637,2026-01-01,0,1,6.2
U05681,2026-01-01,0,2,22.9
U05682,2026-01-01,0,5,20.7
U05775,2026-01-01,0,5,64.8
U05813,2026-01-01,0,1,23.1
U05901,2026-01-01,0,3,12.1
U05972,2026-01-01,0,2,21.0
U05974,2026-01-01,0,2,35.7
U06032,2026-01-01,0,1,3.6
U06185,2026-01-01,0,2,30.2
U06204,2026-01-01,0,2,41.2
U06205,2026-01-01,0,2,33.7
U06270,2026-01-01,0,4,18.3
U06382,2026-01-01,0,1,7.3
U06399,2026-01-01,0,4,39.4
U06443,2026-01-01,0,4,16.3
U06444,2026-01-01,0,2,16.6
U06446,2026-01-01,0,2,21.1
U06573,2026-01-01,0,3,20.6
U06752,2026-01-01,0,3,68.9
U06789,2026-01-01,0,2,63.2
U06826,2026-01-01,0,1,17.5
U06950,2026-01-01,0,1,20.0
U07014,2026-01-01,0,1,33.7
U07074,2026-01-01,0,2,26.3
U07223,2026-01-01,0,1,41.4
U07226,2026-01-01,0,3,47.5
U07254,2026-01-01,0,3,39.9
U07272,2026-01-01,0,3,73.5
U07318,2026-01-01,0,2,16.6
U07348,2026-01-01,0,1,40.9
U07385,2026-01-01,0,2,16.8
U07435,2026-01-01,0,1,8.4
U07460,2026-01-01,0,1,24.7
U07633,2026-01-01,0,3,72.5
U07675,2026-01-01,0,3,30.9
U07776,2026-01-01,0,2,12.8
U07807,2026-01-01,0,1,8.4
U07809,2026-01-01,0,1,92.9
U07843,2026-01-01,0,1,14.8
U07852,2026-01-01,0,2,45.0
U07875,2026-01-01,0,5,12.3
U08030,2026-01-01,0,3,8.2
U08070,2026-01-01,0,2,29.4
U08071,2026-01-01,0,2,22.4
U08076,2026-01-01,0,2,79.5
U08164,2026-01-01,0,4,35.4
U08206,2026-01-01,0,1,21.4
U08249,2026-01-01,0,1,20.9
U08259,2026-01-01,0,2,39.3
U08468,2026-01-01,0,2,33.7
U08485,2026-01-01,0,3,29.4
U08545,2026-01-01,0,3,8.3
U08647,2026-01-01,0,1,53.0
U08691,2026-01-01,0,2,49.9
U08789,2026-01-01,0,1,64.6
U08792,2026-01-01,0,1,12.3
U08877,2026-01-01,0,1,44.0
U08898,2026-01-01,0,3,26.4
U08936,2026-01-01,0,2,20.4
U08968,2026-01-01,0,2,15.8
U08992,2026-01-01,0,2,84.6
U08998,2026-01-01,0,3,15.7
U09011,2026-01-01,0,1,10.1
U09025,2026-01-01,0,1,23.4
U09036,2026-01-01,0,2,9.3
U09046,2026-01-01,0,1,38.9
U09088,2026-01-01,0,3,50.6
U09097,2026-01-01,0,1,29.5
U09174,2026-01-01,0,1,20.9
U09291,2026-01-01,0,2,61.6
U09295,2026-01-01,0,1,31.5
U09396,2026-01-01,0,3,48.2
U09407,2026-01-01,0,1,73.5
U09454,2026-01-01,0,3,19.8
U09463,2026-01-01,0,2,40.9
U09555,2026-01-01,0,3,36.4
U09649,2026-01-01,0,1,21.4
U09667,2026-01-01,0,4,12.4
U09676,2026-01-01,0,2,5.6
U09914,2026-01-01,0,4,47.0
U09966,2026-01-01,0,4,43.8
U10024,2026-01-01,0,2,13.8
U10142,2026-01-01,0,2,44.0
U10233,2026-01-01,0,2,55.1
U10260,2026-01-01,0,2,15.3
U10314,2026-01-01,0,2,14.0
U10335,2026-01-01,0,5,28.1
U10585,2026-01-01,0,3,13.4
U10602,2026-01-01,0,5,55.0
U10654,2026-01-01,0,1,42.8
U10745,2026-01-01,0,3,27.3
U10793,2026-01-01,0,3,40.3
U10796,2026-01-01,0,2,18.0
U10890,2026-01-01,0,3,61.3
U11031,2026-01-01,0,2,21.9
U11124,2026-01-01,0,2,18.4
U11158,2026-01-01,0,4,18.7
U11241,2026-01-01,0,1,26.3
U11290,2026-01-01,0,1,71.4
U11383,2026-01-01,0,3,72.2
U11386,2026-01-01,0,3,16.5
U11445,2026-01-01,0,1,67.9
U11481,2026-01-01,0,2,26.2
U11505,2026-01-01,0,3,22.4
U11512,2026-01-01,0,2,29.5
U11584,2026-01-01,0,4,5.4
U11593,2026-01-01,0,3,21.3
U11675,2026-01-01,0,4,8.7
U11720,2026-01-01,0,3,23.6
U11800,2026-01-01,0,1,36.7
U11826,2026-01-01,0,1,63.4
U11919,2026-01-01,0,2,38.2
U11958,2026-01-01,0,1,13.0
U11976,2026-01-01,0,1,26.7
U11980,2026-01-01,0,1,58.5
U12032,2026-01-01,0,3,7.1
U12061,2026-01-01,0,2,19.7
U12067,2026-01-01,0,2,9.4
U12090,2026-01-01,0,1,10.7
U12097,2026-01-01,0,3,15.2
U12127,2026-01-01,0,2,42.8
U12132,2026-01-01,0,3,26.1
U12144,2026-01-01,0,2,30.8
U12193,2026-01-01,0,1,54.0
U12212,2026-01-01,0,3,17.8
U12247,2026-01-01,0,2,5.5
U12364,2026-01-01,0,1,34.2
U12393,2026-01-01,0,3,68.9
U12588,2026-01-01,0,2,15.9
U12599,2026-01-01,0,1,87.0
U12632,2026-01-01,0,2,46.0
U12749,2026-01-01,0,1,46.7
U12756,2026-01-01,0,3,11.0
U12811,2026-01-01,0,2,57.1
U12865,2026-01-01,0,2,29.7
U12906,2026-01-01,0,1,26.4
U12921,2026-01-01,0,2,46.2
U12956,2026-01-01,0,2,14.8
U13029,2026-01-01,0,1,42.2
U13076,2026-01-01,0,2,14.1
U13110,2026-01-01,0,2,94.3
U13272,2026-01-01,0,5,77.2
U13281,2026-01-01,0,1,49.1
U13349,2026-01-01,0,1,11.3
U13406,2026-01-01,0,2,42.7
U13493,2026-01-01,0,1,45.2
U13500,2026-01-01,0,3,45.6
U13506,2026-01-01,0,1,21.6
U13521,2026-01-01,0,1,48.4
U13567,2026-01-01,0,2,69.2
U13608,2026-01-01,0,3,18.0
U13612,2026-01-01,0,2,12.7
U13655,2026-01-01,0,2,41.3
U13701,2026-01-01,0,1,43.7
U13707,2026-01-01,0,2,75.0
U13787,2026-01-01,0,2,14.4
U14054,2026-01-01,0,2,53.6
U14090,2026-01-01,0,2,16.9
U14358,2026-01-01,0,1,39.4
U14363,2026-01-01,0,2,62.8
U14532,2026-01-01,0,1,29.1
U14560,2026-01-01,0,2,40.7
U14575,2026-01-01,0,3,56.3
U14671,2026-01-01,0,4,13.6
U14757,2026-01-01,0,1,16.1
U14783,2026-01-01,0,2,58.3
U14820,2026-01-01,0,3,33.7
U14830,2026-01-01,0,1,51.2
U14877,2026-01-01,0,1,42.2
U14892,2026-01-01,0,2,32.5
U14914,2026-01-01,0,1,147.6
U14985,2026-01-01,0,3,7.4
U15004,2026-01-01,0,3,26.8
U15011,2026-01-01,0,1,27.7
U15072,2026-01-01,0,1,10.8
U15155,2026-01-01,0,2,24.7
U15350,2026-01-01,0,4,46.7
U15362,2026-01-01,0,4,39.7
U15376,2026-01-01,0,3,25.8
U15494,2026-01-01,0,1,25.9
U15501,2026-01-01,0,1,21.6
U15528,2026-01-01,0,3,56.3
U15552,2026-01-01,0,1,18.4
U15736,2026-01-01,0,2,71.8
U15785,2026-01-01,0,1,30.1
U15795,2026-01-01,0,1,54.1
U15823,2026-01-01,0,5,25.0
U15834,2026-01-01,0,2,24.2
U15987,2026-01-01,0,1,20.6
U16026,2026-01-01,0,2,40.6
U16097,2026-01-01,0,2,21.6
U16255,2026-01-01,0,3,68.4
U16364,2026-01-01,0,2,5.4
U16369,2026-01-01,0,1,54.4
U16405,2026-01-01,0,4,18.1
U16436,2026-01-01,0,1,26.5
U16463,2026-01-01,0,2,41.0
U16478,2026-01-01,0,1,23.3
U16482,2026-01-01,0,1,17.0
U16563,2026-01-01,0,2,30.5
U16605,2026-01-01,0,3,54.5
U16606,2026-01-01,0,3,25.3
U16679,2026-01-01,0,2,48.0
U16714,2026-01-01,0,2,52.2
U16735,2026-01-01,0,4,62.3
U16755,2026-01-01,0,3,46.2
U16773,2026-01-01,0,2,10.1
U16843,2026-01-01,0,3,34.3
U16964,2026-01-01,0,5,15.5
U17114,2026-01-01,0,2,53.0
U17119,2026-01-01,0,5,9.6
U17137,2026-01-01,0,2,22.3
U17172,2026-01-01,0,2,17.7
U17176,2026-01-01,0,2,14.9
U17262,2026-01-01,0,1,30.0
U17444,2026-01-01,0,1,68.1
U17454,2026-01-01,0,2,33.4
U17478,2026-01-01,0,4,42.9
U17521,2026-01-01,0,2,17.5
U17537,2026-01-01,0,4,17.2
U17540,2026-01-01,0,2,35.0
U17655,2026-01-01,0,1,18.6
U17701,2026-01-01,0,3,19.1
U17724,2026-01-01,0,2,22.2
U17729,2026-01-01,0,3,17.5
U17739,2026-01-01,0,1,44.4
U17859,2026-01-01,0,1,20.2
U17907,2026-01-01,0,3,13.5
U17955,2026-01-01,0,1,39.3
U18077,2026-01-01,0,2,36.1
U18168,2026-01-01,0,3,41.1
U18349,2026-01-01,0,2,24.3
U18400,2026-01-01,0,2,72.5
U18615,2026-01-01,0,3,40.5
U18626,2026-01-01,0,2,24.9
U18632,2026-01-01,0,1,28.7
U18752,2026-01-01,0,2,18.9
U18788,2026-01-01,0,4,103.5
U18793,2026-01-01,0,2,5.5
U18817,2026-01-01,0,2,43.2
U18918,2026-01-01,0,6,83.9
U18970,2026-01-01,0,1,35.2
U18989,2026-01-01,0,1,30.9
U19127,2026-01-01,0,3,43.3
U19163,2026-01-01,0,5,47.7
U19193,2026-01-01,0,4,70.0
U19228,2026-01-01,0,2,13.1
U19332,2026-01-01,0,3,21.9
U19404,2026-01-01,0,3,29.8
U19405,2026-01-01,0,2,73.3
U19514,2026-01-01,0,3,24.1
U19757,2026-01-01,0,3,53.5
U19772,2026-01-01,0,2,16.4
U19789,2026-01-01,0,3,25.4
U19844,2026-01-01,0,1,44.1
U19910,2026-01-01,0,1,31.2
U19919,2026-01-01,0,3,28.1
U19978,2026-01-01,0,2,56.5
U20028,2026-01-01,0,3,27.6
U20029,2026-01-01,0,2,5.8
U20226,2026-01-01,0,1,20.1
U20326,2026-01-01,0,1,4.4
U20391,2026-01-01,0,1,17.3
U20393,2026-01-01,0,2,31.1
U20543,2026-01-01,0,2,48.5
U20555,2026-01-01,0,2,35.2
U20831,2026-01-01,0,2,12.2
U20861,2026-01-01,0,2,24.7
U20895,2026-01-01,0,2,22.3
U20905,2026-01-01,0,2,70.2
U21050,2026-01-01,0,3,8.8
U21070,2026-01-01,0,3,24.8
U21235,2026-01-01,0,1,55.5
U21265,2026-01-01,0,1,48.6
U21518,2026-01-01,0,2,5.3
U21542,2026-01-01,0,2,30.4
U21571,2026-01-01,0,1,44.9
U21591,2026-01-01,0,2,54.2
U21600,2026-01-01,0,4,28.1
U21683,2026-01-01,0,2,7.4
U21745,2026-01-01,0,2,12.0
U21863,2026-01-01,0,3,20.0
U21946,2026-01-01,0,2,19.4
U22020,2026-01-01,0,1,48.0
U22088,2026-01-01,0,2,5.0
U22166,2026-01-01,0,2,34.0
U22243,2026-01-01,0,1,52.3
U22279,2026-01-01,0,4,82.4
U22287,2026-01-01,0,2,23.2
U22296,2026-01-01,0,3,23.1
U22421,2026-01-01,0,3,3.2
U22425,2026-01-01,0,2,61.6
U22446,2026-01-01,0,2,11.5
U22510,2026-01-01,0,5,14.3
U22530,2026-01-01,0,4,4.9
U22570,2026-01-01,0,3,27.3
U22582,2026-01-01,0,2,23.1
U22623,2026-01-01,0,5,40.5
U22778,2026-01-01,0,1,30.0
U22840,2026-01-01,0,2,18.1
U22880,2026-01-01,0,2,21.8
U22899,2026-01-01,0,3,9.1
U22967,2026-01-01,0,2,46.4
U23015,2026-01-01,0,2,38.4
U23032,2026-01-01,0,2,18.2
U23094,2026-01-01,0,1,7.4
U23120,2026-01-01,0,4,69.4
U23177,2026-01-01,0,2,48.0
U23265,2026-01-01,0,3,15.4
U23326,2026-01-01,0,2,63.2
U23340,2026-01-01,0,3,9.6
U23477,2026-01-01,0,3,18.6
U23554,2026-01-01,0,5,29.5
U23555,2026-01-01,0,1,3.7
U23591,2026-01-01,0,2,7.3
U23747,2026-01-01,0,1,16.4
U23754,2026-01-01,0,2,54.2
U23999,2026-01-01,0,1,85.3
U24027,2026-01-01,0,3,19.3
U24078,2026-01-01,0,1,28.4
U24115,2026-01-01,0,3,42.4
U24189,2026-01-01,0,2,48.0
U24255,2026-01-01,0,2,25.9
U24267,2026-01-01,0,4,26.0
U24422,2026-01-01,0,2,25.9
U24469,2026-01-01,0,2,59.2
U24611,2026-01-01,0,3,16.7
U24713,2026-01-01,0,4,43.0
U24737,2026-01-01,0,2,35.2
U24776,2026-01-01,0,4,11.8
U24785,2026-01-01,0,2,26.9
U24832,2026-01-01,0,2,23.1
U24835,2026-01-01,0,3,11.7
U24860,2026-01-01,0,4,87.6
U24898,2026-01-01,0,4,8.6
U24901,2026-01-01,0,3,20.6
U24912,2026-01-01,0,2,5.7
U24928,2026-01-01,0,2,5.1
U24979,2026-01-01,0,1,45.4
U25026,2026-01-01,0,3,59.2
U25097,2026-01-01,0,3,4.2
U25102,2026-01-01,0,1,32.0
U25140,2026-01-01,0,4,3.3
U25174,2026-01-01,0,1,24.6
U25189,2026-01-01,0,2,32.7
U25214,2026-01-01,0,2,49.4
U25254,2026-01-01,0,4,19.1
U25956,2026-01-01,0,2,54.3
U25995,2026-01-01,0,1,20.6
U26103,2026-01-01,0,2,20.7
U26127,2026-01-01,0,3,20.6
U26202,2026-01-01,0,3,9.4
U26271,2026-01-01,0,2,70.6
U26315,2026-01-01,0,2,12.6
U26321,2026-01-01,0,2,46.2
U26444,2026-01-01,0,4,21.8
U26452,2026-01-01,0,4,48.7
U26596,2026-01-01,0,3,26.4
U26647,2026-01-01,0,2,31.8
U26712,2026-01-01,0,2,57.7
U26758,2026-01-01,0,1,12.5
U26912,2026-01-01,0,1,49.1
U27148,2026-01-01,0,2,20.2
U27168,2026-01-01,0,1,15.1
U27222,2026-01-01,0,3,25.8
U27284,2026-01-01,0,3,36.6
U27313,2026-01-01,0,3,15.7
U27316,2026-01-01,0,1,32.9
U27327,2026-01-01,0,1,29.5
U27488,2026-01-01,0,3,31.2
U27640,2026-01-01,0,3,10.8
U27728,2026-01-01,0,3,48.6
U27964,2026-01-01,0,3,18.0
U28090,2026-01-01,0,1,25.1
U28131,2026-01-01,0,3,29.9
U28168,2026-01-01,0,2,12.9
U28195,2026-01-01,0,3,16.2
U28219,2026-01-01,0,1,23.4
U28221,2026-01-01,0,2,26.6
U28240,2026-01-01,0,2,2.8
U28544,2026-01-01,0,1,13.3
U28570,2026-01-01,0,2,93.3
U28649,2026-01-01,0,2,23.0
U28739,2026-01-01,0,3,41.0
U28752,2026-01-01,0,3,19.9
U28917,2026-01-01,0,3,56.9
U29208,2026-01-01,0,2,22.5
U29318,2026-01-01,0,3,9.2
U29321,2026-01-01,0,4,58.4
U29334,2026-01-01,0,1,53.9
U29470,2026-01-01,0,2,90.8
U29557,2026-01-01,0,2,41.3
U29637,2026-01-01,0,2,20.3
U29658,2026-01-01,0,3,6.8
U29702,2026-01-01,0,4,50.5
U29711,2026-01-01,0,1,49.0
U29806,2026-01-01,0,2,28.0
U29824,2026-01-01,0,3,15.2
U29881,2026-01-01,0,1,8.7
U29906,2026-01-01,0,5,31.1
U30267,2026-01-01,0,2,12.0
U30296,2026-01-01,0,2,28.5
U30329,2026-01-01,0,2,14.0
U30445,2026-01-01,0,3,64.9
U30449,2026-01-01,0,2,13.2
U30494,2026-01-01,0,2,84.8
U30529,2026-01-01,0,4,22.6
U30560,2026-01-01,0,2,64.5
U30561,2026-01-01,0,1,9.3
U30564,2026-01-01,0,1,63.2
U30602,2026-01-01,0,1,14.8
U30653,2026-01-01,0,2,3.2
U30877,2026-01-01,0,2,80.9
U30886,2026-01-01,0,2,37.4
U30910,2026-01-01,0,4,68.1
U31017,2026-01-01,0,3,21.4
U31058,2026-01-01,0,1,5.1
U31138,2026-01-01,0,3,3.5
U31154,2026-01-01,0,5,24.4
U31275,2026-01-01,0,1,42.8
U31616,2026-01-01,0,2,31.4
U31670,2026-01-01,0,2,34.3
U31705,2026-01-01,0,1,70.0
U31846,2026-01-01,0,2,209.8
U31850,2026-01-01,0,1,12.5
U31862,2026-01-01,0,1,30.2
U31864,2026-01-01,0,2,18.0
U31885,2026-01-01,0,3,17.6
U32039,2026-01-01,0,1,55.0
U32065,2026-01-01,0,3,43.0
U32415,2026-01-01,0,3,23.5
U32559,2026-01-01,0,1,14.0
U32671,2026-01-01,0,4,33.6
U32692,2026-01-01,0,3,33.8
U32746,2026-01-01,0,2,19.3
U32751,2026-01-01,0,2,5.8
U32764,2026-01-01,0,3,30.6
U32774,2026-01-01,0,2,29.6
U32970,2026-01-01,0,1,85.4
U33053,2026-01-01,0,2,20.8
U33175,2026-01-01,0,1,38.0
U33240,2026-01-01,0,1,27.6
U33466,2026-01-01,0,1,47.2
U33516,2026-01-01,0,1,31.8
U33545,2026-01-01,0,3,19.2
U33559,2026-01-01,0,3,19.3
U33569,2026-01-01,0,1,22.6
U33596,2026-01-01,0,1,32.0
U33598,2026-01-01,0,7,14.3
U33618,2026-01-01,0,3,28.6
U33668,2026-01-01,0,1,32.6
U33734,2026-01-01,0,3,30.9
U33735,2026-01-01,0,2,3.9
U33753,2026-01-01,0,3,18.8
U33832,2026-01-01,0,1,30.2
U33959,2026-01-01,0,1,20.7
U34164,2026-01-01,0,1,31.2
U34269,2026-01-01,0,3,15.1
U34293,2026-01-01,0,4,27.6
U34357,2026-01-01,0,2,13.9
U34464,2026-01-01,0,4,41.3
U34519,2026-01-01,0,4,31.0
U34667,2026-01-01,0,1,19.1
U34735,2026-01-01,0,2,56.9
U34787,2026-01-01,0,3,89.2
U34790,2026-01-01,0,1,32.6
U34829,2026-01-01,0,2,2.4
U34844,2026-01-01,0,3,42.4
U34882,2026-01-01,0,3,51.1
U34949,2026-01-01,0,2,28.8
U34972,2026-01-01,0,3,16.9
U35099,2026-01-01,0,3,55.7
U35156,2026-01-01,0,1,7.0
U35206,2026-01-01,0,2,10.0
U35226,2026-01-01,0,3,5.4
U35248,2026-01-01,0,2,34.9
U35257,2026-01-01,0,2,14.0
U35294,2026-01-01,0,3,36.0
U35332,2026-01-01,0,1,30.8
U35338,2026-01-01,0,2,7.6
U35341,2026-01-01,0,2,19.3
U35356,2026-01-01,0,1,33.1
U35367,2026-01-01,0,4,20.3
U35459,2026-01-01,0,4,9.6
U35714,2026-01-01,0,1,11.0
U35845,2026-01-01,0,3,30.8
U35963,2026-01-01,0,2,26.2
U36084,2026-01-01,0,2,40.7
U36106,2026-01-01,0,2,46.9
U36113,2026-01-01,0,3,7.2
U36127,2026-01-01,0,2,15.0
U36203,2026-01-01,0,3,45.7
U36323,2026-01-01,0,2,10.9
U36451,2026-01-01,0,2,26.8
U36452,2026-01-01,0,1,51.7
U36456,2026-01-01,0,1,18.5
U36490,2026-01-01,0,2,12.9
U36625,2026-01-01,0,3,12.0
U36646,2026-01-01,0,1,28.9
U36690,2026-01-01,0,3,7.8
U36768,2026-01-01,0,1,42.6
U36822,2026-01-01,0,4,29.8
U36862,2026-01-01,0,2,5.2
U36930,2026-01-01,0,2,9.3
U36982,2026-01-01,0,2,30.5
U37009,2026-01-01,0,2,140.5
U37019,2026-01-01,0,2,8.5
U37217,2026-01-01,0,1,14.9
U37308,2026-01-01,0,2,20.3
U37341,2026-01-01,0,4,2.8
U37373,2026-01-01,0,2,11.0
U37384,2026-01-01,0,1,28.5
U37396,2026-01-01,0,3,0.5
U37400,2026-01-01,0,1,54.4
U37487,2026-01-01,0,4,12.5
U37519,2026-01-01,0,2,32.5
U37822,2026-01-01,0,3,60.8
U37936,2026-01-01,0,3,16.9
U38033,2026-01-01,0,1,38.0
U38114,2026-01-01,0,2,7.1
U38214,2026-01-01,0,4,14.0
U38393,2026-01-01,0,1,92.9
U38401,2026-01-01,0,2,37.7
U38413,2026-01-01,0,3,17.7
U38440,2026-01-01,0,3,17.8
U38452,2026-01-01,0,1,4.8
U38575,2026-01-01,0,2,14.2
U38714,2026-01-01,0,3,46.3
U38719,2026-01-01,0,1,31.1
U38758,2026-01-01,0,2,60.3
U38783,2026-01-01,0,2,50.2
U38887,2026-01-01,0,2,20.5
U38900,2026-01-01,0,3,39.4
U38923,2026-01-01,0,2,50.3
U38929,2026-01-01,0,2,89.7
U38946,2026-01-01,0,3,22.1
U38974,2026-01-01,0,2,12.0
U39035,2026-01-01,0,3,38.5
U39043,2026-01-01,0,3,25.1
U39183,2026-01-01,0,1,14.3
U39195,2026-01-01,0,3,16.9
U39255,2026-01-01,0,1,28.9
U39322,2026-01-01,0,4,73.2
U39389,2026-01-01,0,1,41.5
U39437,2026-01-01,0,1,24.4
U39507,2026-01-01,0,2,19.6
U39555,2026-01-01,0,1,19.7
U39561,2026-01-01,0,1,49.0
U39570,2026-01-01,0,2,25.3
U39584,2026-01-01,0,2,64.5
U39587,2026-01-01,0,2,122.7
U39605,2026-01-01,0,7,6.3
U39612,2026-01-01,0,3,62.2
U39624,2026-01-01,0,2,106.1
U39797,2026-01-01,0,2,6.2
U39837,2026-01-01,0,2,44.7
U39890,2026-01-01,0,3,22.0
U39892,2026-01-01,0,1,49.7
U39958,2026-01-01,0,3,29.2
U39985,2026-01-01,0,1,18.1
U39993,2026-01-01,0,3,18.1
U40051,2026-01-01,0,1,68.1
U40115,2026-01-01,0,1,37.3
U40155,2026-01-01,0,2,14.7
U40222,2026-01-01,0,1,22.0
U40244,2026-01-01,0,2,23.1
U40374,2026-01-01,0,1,28.5
U40409,2026-01-01,0,2,19.2
U40497,2026-01-01,0,3,30.8
U40566,2026-01-01,0,1,57.2
U40616,2026-01-01,0,2,51.6
U40753,2026-01-01,0,3,21.5
U40885,2026-01-01,0,3,29.2
U40923,2026-01-01,0,4,47.9
U40926,2026-01-01,0,2,18.9
U40962,2026-01-01,0,2,17.8
U41082,2026-01-01,0,4,67.2
U41223,2026-01-01,0,2,6.6
U41247,2026-01-01,0,1,33.7
U41269,2026-01-01,0,3,97.6
U41305,2026-01-01,0,3,13.8
U41383,2026-01-01,0,3,19.0
U41389,2026-01-01,0,1,44.4
U41420,2026-01-01,0,2,26.0
U41463,2026-01-01,0,1,3.9
U41577,2026-01-01,0,1,4.2
U41667,2026-01-01,0,2,32.1
U41690,2026-01-01,0,2,22.8
U41717,2026-01-01,0,3,60.8
U41764,2026-01-01,0,3,49.0
U41850,2026-01-01,0,1,3.1
U42005,2026-01-01,0,2,15.2
U42083,2026-01-01,0,2,9.9
U42115,2026-01-01,0,3,12.3
U42167,2026-01-01,0,1,14.0
U42228,2026-01-01,0,3,43.1
U42288,2026-01-01,0,3,22.3
U42384,2026-01-01,0,2,17.6
U42417,2026-01-01,0,1,28.0
U42492,2026-01-01,0,2,16.2
U42501,2026-01-01,0,2,27.3
U42655,2026-01-01,0,1,15.8
U42656,2026-01-01,0,3,20.1
U42664,2026-01-01,0,3,42.0
U42733,2026-01-01,0,4,22.7
U42778,2026-01-01,0,1,23.3
U42821,2026-01-01,0,3,85.3
U42839,2026-01-01,0,3,19.7
U42899,2026-01-01,0,2,21.2
U42900,2026-01-01,0,3,42.4
U42929,2026-01-01,0,1,24.6
U42990,2026-01-01,0,2,50.5
U43012,2026-01-01,0,1,30.9
U43013,2026-01-01,0,2,44.8
U43023,2026-01-01,0,4,18.5
U43091,2026-01-01,0,1,24.5
U43163,2026-01-01,0,1,26.9
U43303,2026-01-01,0,1,93.3
U43331,2026-01-01,0,2,61.8
U43382,2026-01-01,0,1,24.2
U43439,2026-01-01,0,2,44.2
U43460,2026-01-01,0,5,16.8
U43629,2026-01-01,0,2,16.4
U43738,2026-01-01,0,1,48.9
U43788,2026-01-01,0,3,25.3
U43826,2026-01-01,0,5,6.9
U43880,2026-01-01,0,1,30.9
U43941,2026-01-01,0,5,32.8
U43998,2026-01-01,0,5,60.7
U44017,2026-01-01,0,3,50.8
U44050,2026-01-01,0,2,27.4
U44107,2026-01-01,0,2,44.1
U44208,2026-01-01,0,2,58.8
U44349,2026-01-01,0,5,30.6
U44461,2026-01-01,0,2,42.0
U44489,2026-01-01,0,2,35.2
U44521,2026-01-01,0,1,14.8
U44569,2026-01-01,0,2,45.8
U44712,2026-01-01,0,3,25.6
U44724,2026-01-01,0,1,14.2
U44754,2026-01-01,0,2,26.6
U44789,2026-01-01,0,4,78.4
